page,title,meta_description_present,h1_count,lang_present,canonical_present,robots_meta,favicon_link_present,size_bytes,lastmod
About.html,About,False,1,True,False,,True,21244,2025-10-28T14:09:23.303409
Gallery.html,Gallery,False,1,True,False,,True,29143,2025-10-28T14:09:23.347435
Gentry-Tifo.html,Gentry Tifo,False,1,True,False,,True,21711,2025-10-28T14:09:23.370687
Get-in-touch.html,Get in touch,False,1,True,False,,True,14905,2025-10-28T14:09:23.387216
Home.html,,True,1,True,False,,True,248,2025-10-28T14:09:23.390105
Support-us.html,Support us,False,1,True,False,,True,30244,2025-10-28T14:09:23.421870
index.html,Home,False,1,True,False,,True,16969,2025-10-28T14:09:23.457278
