page,title,meta_description_present,h1_count,lang_present,canonical_present,robots_meta,favicon_link_present,size_bytes,lastmod
About.html,About,False,0,True,False,,False,23043,2025-10-28T14:03:13.799422
Gallery.html,Gallery,False,0,True,False,,False,33639,2025-10-28T14:03:13.800331
Gentry-Tifo.html,Gentry Tifo,False,0,True,False,,False,22376,2025-10-28T14:03:13.801208
Get-in-touch.html,Get in touch,False,0,True,False,,False,16827,2025-10-28T14:03:13.802112
Home.html,,False,0,False,False,,False,123,2025-10-28T14:03:13.802508
Support-us.html,Support us,False,2,True,False,,False,35270,2025-10-28T14:03:13.803587
index.html,Home,False,1,True,False,,False,17063,2025-10-28T14:03:13.804087
